,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
209,Juwan Morgan,UTA,24,2,1,1,2.9,72.7,133.3,-60.6,33.3,0,100,16.7,16.7,16.7,0,0,0,0,96.56,6.8,11
209,KZ Okpala,MIA,22,2,0,2,2.9,100,100,0,0,0,0,0,0,0,0,0,0,8.3,87.15,-4.3,11
209,Keljin Blevins,POR,25,2,1,1,1.9,100,122.2,-22.2,0,0,0,0,0,0,0,50,50,18.2,111.2,0,9
209,Langston Galloway,PHX,29,2,2,0,7.4,93.9,109.1,-15.2,9.1,0,12.5,0,11.1,4.9,0,14.3,13.4,18.4,107.51,-4.1,33
209,Luke Kornet,BOS,25,2,0,2,2.7,85.7,78.6,7.1,0,0,0,0,42.9,23.1,0,100,79.8,14.3,124.1,25,14
209,Max Strus,MIA,25,2,0,2,2.9,100,100,0,0,0,0,0,0,0,0,0,0,8.3,87.15,-4.3,11
209,Nemanja Bjelica,MIA,33,2,0,2,15.1,100,131.7,-31.7,13.3,0,12.5,3.4,13.8,8.6,0,63.6,66,20.6,94.41,11.1,59
209,Semi Ojeleye,BOS,26,2,0,2,6,80.8,100,-19.2,0,0,0,0,0,0,0,0,10.2,17.9,104.29,-6.1,26
209,Serge Ibaka,LAC,31,2,0,2,9.2,150,105.7,44.3,13.3,2,18.2,11.1,13.6,12.9,9.1,50,64.4,24.3,92.8,15.1,36
209,Trey Burke,DAL,28,2,0,2,8.3,79.4,132.4,-52.9,10,0,11.1,4.5,0,2.7,0,0,6.3,19.5,98.35,-10.7,34
228,Anthony Tolliver,PHI,36,1,1,0,1.7,50,50,0,0,0,0,0,0,0,0,0,0,0,110.77,200,4
228,Cassius Winston,WAS,23,1,0,1,5.5,80,100,-20,100,0.5,16.7,12.5,20,15.4,33.3,33.3,33.3,33.3,87.54,-5.3,10
228,Ersan Ilyasova,UTA,34,1,0,1,3.4,133.3,171.4,-38.1,0,0,0,0,0,0,0,50,69.4,50,90.87,15.4,6
228,Harry Giles III,POR,23,1,0,1,3.6,100,71.4,28.6,0,0,0,50,33.3,42.9,75,0,0,40,93.33,-21.1,7
228,John Konchar,MEM,25,1,0,1,2.8,66.7,0,66.7,0,0,0,0,25,11.1,0,0,0,14.3,102.86,33.3,6
228,Josh Green,DAL,20,1,0,1,4.2,100,125,-25,0,0,0,0,0,0,0,0,0,0,96.38,0,9
228,Justise Winslow,MEM,25,1,0,1,2.8,66.7,0,66.7,50,0,100,0,25,11.1,0,0,0,0,102.86,133.3,6
228,Kevin Knox II,NYK,21,1,0,1,3.5,122.2,25,97.2,50,0,50,0,20,12.5,0,0,113.6,11.1,116.57,112.5,9
228,Rayjon Tucker,PHI,23,1,1,0,1.7,33.3,100,-66.7,0,0,0,0,0,0,0,0,56.8,33.3,86.4,0,3
228,Tacko Fall,BOS,25,1,0,1,0.9,50,0,50,0,0,0,0,50,33.3,0,0,0,0,128.8,100,2
228,Ty-Shon Alexander,PHX,22,1,0,1,1.3,66.7,75,-8.3,0,0,0,0,0,0,0,100,100,33.3,129.23,30.8,3
228,Udoka Azubuike,UTA,21,1,0,1,1.2,33.3,0,33.3,0,0,0,0,100,50,0,0,0,0,104.35,-50,3
